PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Wenyen Gabriel,LAL,25,26,8,18,13.8,5.4,3.7,0.5,0.6,0.2,0.4,1.7
Wes Iwundu,ATL,27,3,2,1,27.4,7.3,4.3,0.0,0.3,0.3,0.0,0.0
Wesley Matthews,MIL,35,49,33,16,20.5,5.1,1.9,0.7,0.4,0.5,0.2,2.8
Will Barton,DEN,31,71,41,30,32.1,14.7,4.8,3.9,1.8,0.8,0.4,1.4
Willie Cauley-Stein,PHI,28,20,12,8,9.1,1.7,2.0,0.5,0.4,0.3,0.2,1.2
Willy Hernangomez,NOP,27,50,22,28,16.8,9.1,6.8,1.3,1.0,0.4,0.4,-0.9
Xavier Moon,LAC,27,10,7,3,13.7,5.8,1.4,2.4,0.6,0.7,0.3,0.2
Xavier Sneed,UTA,24,9,7,2,4.3,0.6,0.7,0.1,0.0,0.0,0.0,-0.7
Xavier Tillman,MEM,23,53,35,18,13.2,4.8,3.0,1.2,0.6,0.9,0.3,-0.5
Yuta Watanabe,TOR,27,38,21,17,11.7,4.3,2.4,0.6,0.5,0.3,0.4,-1.4
Yves Pons,MEM,22,12,9,3,5.9,1.1,1.0,0.1,0.1,0.1,0.3,-2.5
Zach Collins,SAS,24,28,14,14,17.9,7.8,5.5,2.2,1.6,0.5,0.8,1.4
Zach LaVine,CHI,27,67,37,30,34.7,24.4,4.6,4.5,2.6,0.6,0.3,-0.4
Zavier Simpson,OKC,25,4,1,3,43.5,11.0,5.3,7.5,2.5,1.3,1.0,-23.8
Zeke Nnaji,DEN,21,41,24,17,17.0,6.6,3.6,0.4,0.6,0.4,0.3,-1.1
Ziaire Williams,MEM,20,62,41,21,21.7,8.1,2.1,1.0,0.7,0.6,0.2,2.0
Zylan Cheatham,UTA,26,1,0,1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,-13.0
